isin,ticker
AN8068571086,SLB
AT000000ETS9,ETS
AT000000STR1,STR1USD
AT00000AMAG3,AMAG
AT00000FACC2,FACC
AT00000VIE62,FLW1
AT0000606306,RBI
AT0000609607,POS
AT0000616701,ATHOS
AT0000625108,OBS
AT0000625504,BTS
AT0000641352,CAI
AT0000644505,LNZ
AT0000652011,EBO
AT0000720008,TA1
AT0000730007,ANDR
AT0000741053,EVN
AT0000743059,OMV
AT0000746409,VER
AT0000758305,PAL
AT0000785407,FAA
AT0000785555,SEM
AT0000815402,UBS
AT0000818802,DOC
AT0000821103,UN9
AT0000827209,WXF
AT0000831706,WIB
AT0000834007,WOL
AT0000837307,ZAG
AT0000908504,VIG
AT0000922554,ROS
AT0000937503,VAS
AT0000938204,MMK
AT0000946652,SLL
AT0000969985,AUS
AT0000A00XX9,PYT
AT0000A0E9W5,KTN
AT0000A21KS2,CPI
AT0000A25NJ6,WOLF
AT0000A325L0,ACAG
AT0000A38M45,CLEN
AT0000A3EPA4,DQW
AT0000A3FW25,4X0
AT0000APOST4,POST
AT0000BAWAG2,BG
AT0000KTMI02,BMAG
AT000ADDIKO0,ADKO
AT000AGRANA3,AGR
AT000KAPSCH9,BZ6
ATFREQUENT09,FQT
ATMARINOMED6,MARI
AU0000001661,RDN
AU0000003816,CPV
AU0000003PL9,3PL
AU0000005159,JMS
AU0000007627,INF
AU00000088E2,POQ
AU0000009771,URW
AU000000AAC9,AAC
AU000000AC89,UVP
AU000000ADH2,ADH
AU000000ADX9,ADX
AU000000ADY7,ADMRF
AU000000AEE7,VU1
AU000000AGL7,AGL
AU000000AGY0,ARYMF
AU000000AJX6,AJX
AU000000AKP0,AKP
AU000000ALI3,ALI
AU000000ALK9,ALK
AU000000ALL7,ALL
AU000000ALQ6,ALQ
AU000000ALY0,ALY
AU000000AMA8,AMA
AU000000AMC4,AMC
AU000000AMI1,AMI
AU000000AMP6,AMP
AU000000ANG3,ANG
AU000000ANN9,PD1A
AU000000ANO7,BBJ
AU000000ANZ3,ANZ
AU000000AON7,AON
AU000000APA1,APA
AU000000APX3,APX
AU000000APZ8,APZ
AU000000ARL4,ARL
AU000000ARU5,REB
AU000000ARV3,ATY
AU000000ASB3,ASB
AU000000ASN8,ASN
AU000000ASP3,ASP
AU000000ASX7,ASX
