isin,cusip,ticker
US0003041052,000304105,AACAY
US00032Q1040,00032Q104,WHWK
US0003602069,000360206,AAON
US0003611052,000361105,AIR
US0003752047,000375204,ABBNY
US00080Q1058,00080Q105,AAVMY
US00081T1088,00081T108,ACCO
US00089H1068,00089H106,ACSAY
US00090Q1031,00090Q103,ADT
US0009571003,000957100,ABM
US0010551028,001055102,AFL
US0010841023,001084102,AGCO
US00108J1097,00108J109,ACMR
US00109K1051,00109K105,AFCG
US0012285013,001228501,MITT
US00123Q1040,00123Q104,AGNC
US00130H1059,00130H105,AES
US00164V1035,00164V103,AMCX
US00165C3025,00165C302,AMC
US0017441017,001744101,AMN
US00175J1079,00175J107,POWW
US00181T1079,00181T107,GOLD
US00182C1036,00182C103,ANIP
US00183L2016,00183L201,ANGI
US00187Y1001,00187Y100,APG
US00191U1025,00191U102,ASGN
US00202F1021,00202F102,AMKBY
US00206R1023,00206R102,T
US0021202025,002120202,ATYR
US0021211018,002121101,ATEN
US00215F1075,00215F107,ATNI
US00215W1009,00215W100,ASX
US00217D1000,00217D100,ASTS
US00218A1051,00218A105,ASPI
US0022554044,002255404,AUOTY
US00246W1036,00246W103,AXTI
US0024741045,002474104,AZZ
US0028241000,002824100,ABT
US00287Y1091,00287Y109,ABBV
US0028962076,002896207,ANF
US00289Y2063,00289Y206,ABEO
US00370M1036,00370M103,ABVX
US0038813079,003881307,ACTG
US00404A1097,00404A109,ACHC
US0042251084,004225108,ACAD
US00435F3091,00435F309,ACCYY
US0043971052,004397105,ARAY
US00444E1038,00444E103,ANIOY
US00444T2096,00444T209,TLPH
US0044685008,004468500,ACHV
US0044981019,004498101,ACIW
US00449R1095,00449R109,ACLLY
US00461U1051,00461U105,ACRS
US0048161048,004816104,ACU
US00486H1059,00486H105,ADTN
US00489Q1022,00489Q102,ACR
US00507W2061,00507W206,ATNM
US00508Y1029,00508Y102,AYI
US0050981085,005098108,GOLF
US0053291078,005329107,ADAG
US00650F1093,00650F109,ADPT
US00654J2069,00654J206,ADXN
US0067391062,006739106,ADUS
US0067542045,006754204,AHEXY
US00687A1079,00687A107,ADDYY
US00704R1095,00704R109,ANL
US0071921078,007192107,AMIGY
US00724F1012,00724F101,ADBE
US00737L1035,00737L103,ATGE
US00751Y1064,00751Y106,AAP
US00760J1088,00760J108,AEHR
US00762U2006,00762U200,ATEYY
US00766T1007,00766T100,ACM
US0076CA1045,0076CA104,AEG
US00770C1018,00770C101,ARQ
US00770K2024,00770K202,AMTX
US00773J2024,00773J202,SYRE
US00773T1016,00773T101,ASIX
US00774W1036,00774W103,ANYYY
US00783V1044,00783V104,ADYEY
US0079031078,007903107,AMD
US00790R1041,00790R104,WMS
US00791N1028,00791N102,ADV
US0079731008,007973100,AEIS
US0080731088,008073108,AVAV
US00809M1045,00809M104,PAIYY
US0082521081,008252108,AMG
US00832E1038,00832E103,AFBI
US00835Q2021,00835Q202,AEVA
US00844W2089,00844W208,AGESY
US00846U1016,00846U101,A
US00847G8042,00847G804,AGEN
US00847J1051,00847J105,AGYS
US00847X1046,00847X104,AGIO
US0084921008,008492100,ADC
US00851L1035,00851L103,API
US0088753043,008875304,DOMH
US0090661010,009066101,ABNB
US0091191082,009119108,AFLYY
US0091262024,009126202,AIQUY
US00912N4034,00912N403,AIRI
US00912X3026,00912X302,AL
US0091581068,009158106,APD
US0092071010,009207101,AIRT
US0092791005,009279100,EADSY
US00938A1043,00938A104,AIRG
US0096062031,009606203,AIIXY
US0097195012,009719501,AKBTY
US00971T1016,00971T101,AKAM
US00972D1054,00972D105,AKBA
US00972G2075,00972G207,AKTX
US00973N1028,00973N102,AKTSQ
US0101995035,010199503,AKZOY
US0113111076,011311107,ALG
US0116421050,011642105,ALRM
US0116591092,011659109,ALK
US0123481089,012348108,AIN
US0126531013,012653101,ALB
US0130911037,013091103,ACI
US0138721065,013872106,AA
US01438T1060,01438T106,ALDX
US0144421072,014442107,ALEC
US01446U1034,01446U103,ALRS
US0147521092,014752109,ALX
US0152711091,015271109,ARE
US01609W1027,01609W102,BABA
US0162551016,016255101,ALGN
US01626L2043,01626L204,ALGS
US01626W1018,01626W101,ALIT
US01644J1088,01644J108,ALKT
US01741R1023,01741R102,ATI
US01748X1028,01748X102,ALGT
US01749D1054,01749D105,ALGM
US0185811082,018581108,BFH
US0188021085,018802108,LNT
US0188201000,018820100,ALIZY
US0191701095,019170109,AGAE
US0193301092,019330109,ALNT
US01973R1014,01973R101,ALSN
US01988P1084,01988P108,MDRX
US0200021014,020002101,ALL
US02005N1000,02005N100,ALLY
US02043Q1076,02043Q107,ALNY
US02071M5076,02071M507,ALBKY
US0207721095,020772109,APT
US02079K1079,02079K107,GOOG
US02079K3059,02079K305,GOOGL
US02081G2012,02081G201,ATEC
US0212442075,021244207,ALSMY
US02128L1061,02128L106,ALTG
US0215131063,021513106,ALTO
US02155H2004,02155H200,ALT
US02156K1034,02156K103,OPTU
US02209S1033,02209S103,MO
US02263T1043,02263T104,AMADY
US0226711010,022671101,AMAL
US0231114044,023111404,AMRN
US0231351067,023135106,AMZN
US0231398845,023139884,OSG
US02319V1035,02319V103,ABEV
US0235761014,023576101,AMTB
US0235861004,023586100,UHAL
US0236081024,023608102,AEE
US02361E1082,02361E108,AMRC
US02376R1023,02376R102,AAL
US02390A1016,02390A101,AMX
US0239391016,023939101,AMTM
