rank,symbol,date,entry,stop,target_2R,risk_per_share,shares_for_100eur,invest_eur,deckel,hi250
1,ACGP,2026-02-04,40.05,34.0,52.15,6.05,16,662.0,40.0,41.45
2,FTV,2026-02-04,60.13,54.5,71.39,5.63,17,1068.0,56.19,62.79
3,OLN,2026-02-04,25.44,23.09,30.14,2.35,42,1083.0,24.81,28.77
4,J,2026-02-04,143.33,130.94,168.11,12.39,8,1157.0,143.16,168.44
5,ZWS,2026-02-04,51.77,47.3,60.71,4.47,22,1158.0,48.5,50.03
6,CSL,2026-02-04,395.36,365.63,454.82,29.73,3,1330.0,368.95,435.92
7,CC,2026-02-04,17.94,16.7,20.42,1.24,80,1447.0,16.74,19.06
8,AMGN,2026-02-04,366.2,342.38,413.84,23.82,4,1537.0,353.25,353.25
9,FOR,2026-02-04,29.35,27.62,32.81,1.73,57,1697.0,28.3,29.44
10,ALGT,2026-02-04,99.86,94.13,111.32,5.73,17,1743.0,96.89,97.2
11,YUMC,2026-02-04,53.14,50.4,58.62,2.74,36,1939.0,51.38,53.99
12,AIT,2026-02-04,289.94,275.0,319.82,14.94,6,1941.0,286.66,286.66
13,RNST,2026-02-04,40.72,38.64,44.88,2.08,48,1958.0,38.99,40.4
14,MTW,2026-02-04,14.6,13.86,16.08,0.74,135,1973.0,14.33,14.33
15,MATV,2026-02-04,13.79,13.1,15.17,0.69,144,1999.0,13.5,13.57
16,MGRC,2026-02-04,120.86,115.07,132.44,5.79,17,2087.0,118.66,129.93
17,OVV,2026-02-04,46.11,43.91,50.51,2.2,45,2096.0,44.49,45.96
18,UA,2026-02-04,6.51,6.2,7.13,0.31,322,2100.0,6.39,7.71
19,AVY,2026-02-04,193.13,183.95,211.49,9.18,10,2104.0,190.37,190.45
20,HIFS,2026-02-04,328.58,313.35,359.04,15.23,6,2157.0,320.0,320.0
21,SAM,2026-02-04,235.66,225.0,256.98,10.66,9,2211.0,224.89,260.0
22,SSD,2026-02-04,193.35,184.68,210.69,8.67,11,2230.0,189.99,197.82
23,SON,2026-02-04,51.62,49.31,56.24,2.31,43,2235.0,49.64,50.09
24,LEG,2026-02-04,12.87,12.31,13.99,0.56,178,2298.0,12.78,12.78
25,LNN,2026-02-04,132.16,126.53,143.42,5.63,17,2347.0,129.25,150.96
26,SNEX,2026-02-04,117.37,112.41,127.29,4.96,20,2366.0,115.18,115.18
